,WAG,SEX,AGE,EDU,JOB,RACE,WAGP_count,WAGP_mean,Year
258,47760.69711870417,Female,46-55,CLG,HLC,WHT/MIX,4531,48067.671424684035,2008
259,49026.454739670015,Female,56-70,CLG,HLC,WHT/MIX,2376,49015.37006051358,2008
260,26315.34142568716,Female,18-25,CLG,MLT,ASN,2,40620.19202317979,2008
261,34000.08949733714,Female,26-35,CLG,MLT,ASN,5,32277.948037323138,2008
262,36381.81209281564,Female,36-45,CLG,MLT,ASN,0,1.0,2008
263,32459.327980778686,Female,46-55,CLG,MLT,ASN,0,1.0,2008
264,34825.55193928855,Female,56-70,CLG,MLT,ASN,0,1.0,2008
265,24777.32216046582,Female,18-25,CLG,MLT,BLK,19,26876.379497306974,2008
266,34422.5247781982,Female,26-35,CLG,MLT,BLK,25,35997.90615844237,2008
267,34732.09267142422,Female,36-45,CLG,MLT,BLK,12,48795.2882770656,2008
268,35738.06837763218,Female,46-55,CLG,MLT,BLK,4,57251.25776114332,2008
269,34026.94898951199,Female,56-70,CLG,MLT,BLK,2,48218.253804964734,2008
270,25624.64150623357,Female,18-25,CLG,MLT,HSP/NTV,23,23387.250378225763,2008
271,34371.885376669714,Female,26-35,CLG,MLT,HSP/NTV,16,32112.81473686314,2008
272,31496.527489226577,Female,36-45,CLG,MLT,HSP/NTV,3,37982.56356093001,2008
273,33453.923858038695,Female,46-55,CLG,MLT,HSP/NTV,2,35496.47869859769,2008
274,32093.024648396735,Female,56-70,CLG,MLT,HSP/NTV,0,1.0,2008
275,25228.178487898782,Female,18-25,CLG,MLT,WHT/MIX,74,27205.980016659865,2008
276,35193.68829075288,Female,26-35,CLG,MLT,WHT/MIX,64,34383.295977525384,2008
277,41340.23985282958,Female,36-45,CLG,MLT,WHT/MIX,27,46918.49497185309,2008
278,41289.5939018048,Female,46-55,CLG,MLT,WHT/MIX,9,49353.74457332141,2008
279,40910.013911139285,Female,56-70,CLG,MLT,WHT/MIX,1,92000.0,2008
280,25695.834203875787,Female,18-25,CLG,MTN,ASN,2,17271.94256590728,2008
281,33638.79627669828,Female,26-35,CLG,MTN,ASN,3,28231.080866430828,2008
282,35854.64195363631,Female,36-45,CLG,MTN,ASN,10,32744.5620031732,2008
283,42826.806162649904,Female,46-55,CLG,MTN,ASN,7,40278.36982993302,2008
284,39275.993548604565,Female,56-70,CLG,MTN,ASN,2,41623.31077653482,2008
285,24161.424862373788,Female,18-25,CLG,MTN,BLK,18,27826.350187621596,2008
286,39133.04688006511,Female,26-35,CLG,MTN,BLK,38,42194.02395352302,2008
287,36025.28744048838,Female,36-45,CLG,MTN,BLK,45,37905.0408722969,2008
288,43329.694799909914,Female,46-55,CLG,MTN,BLK,49,42506.63811923954,2008
289,40060.19910598271,Female,56-70,CLG,MTN,BLK,12,41087.925772723895,2008
290,24992.933798432954,Female,18-25,CLG,MTN,HSP/NTV,29,24684.66345295074,2008
291,32210.345086482917,Female,26-35,CLG,MTN,HSP/NTV,30,27376.401339203694,2008
292,35343.37464913504,Female,36-45,CLG,MTN,HSP/NTV,36,36268.960286472655,2008
293,41888.958694916444,Female,46-55,CLG,MTN,HSP/NTV,42,39085.59488484599,2008
294,38340.23868324844,Female,56-70,CLG,MTN,HSP/NTV,14,43136.60029972361,2008
295,24346.147335809284,Female,18-25,CLG,MTN,WHT/MIX,100,25085.60623786489,2008
296,31369.846543369367,Female,26-35,CLG,MTN,WHT/MIX,183,32992.62177586801,2008
297,38417.07934782282,Female,36-45,CLG,MTN,WHT/MIX,264,39115.29595982126,2008
298,42145.29450092208,Female,46-55,CLG,MTN,WHT/MIX,329,41660.301670356406,2008
299,40489.00318045143,Female,56-70,CLG,MTN,WHT/MIX,128,41457.343078997736,2008
300,23937.739002834824,Female,18-25,CLG,PRD,ASN,10,26133.25854074706,2008
301,26535.486794693876,Female,26-35,CLG,PRD,ASN,47,26681.236388276942,2008
302,28458.88167146676,Female,36-45,CLG,PRD,ASN,75,29919.70097506629,2008
303,27298.689237118753,Female,46-55,CLG,PRD,ASN,99,29756.023099590217,2008
304,30398.28000023291,Female,56-70,CLG,PRD,ASN,41,29730.726288741207,2008
305,21473.000226515484,Female,18-25,CLG,PRD,BLK,52,22092.035032554748,2008
306,26443.16467658268,Female,26-35,CLG,PRD,BLK,130,25697.207788625987,2008
307,30332.496945254225,Female,36-45,CLG,PRD,BLK,241,30764.54501826658,2008
308,32202.997163585573,Female,46-55,CLG,PRD,BLK,231,32082.39061565246,2008
309,30558.432747593557,Female,56-70,CLG,PRD,BLK,77,29763.160941797927,2008
310,21291.789423935814,Female,18-25,CLG,PRD,HSP/NTV,48,20137.727403259512,2008
